,Channel,Values,,
,Shopify,,Square,
DATE BY MONTH,SUM of Total sales,SUM of Items Sold ,SUM of Total sales,SUM of Items Sold 
2023-01,,,814.43,85
2023-02,,,814.43,85
2023-03,74,6,814.43,85
2023-04,,,814.43,85
2023-05,,,814.43,85
2023-06,,,814.43,85
2023-07,,,814.43,85
2023-08,,,814.43,85
2023-09,,,814.43,85
2023-10,,,814.43,85
2023-11,548.18,59,814.43,85
2023-12,87.88,7,814.43,85
2024-01,,,311.08,33
2024-02,213.22,22,311.08,33
2024-03,51,6,311.08,33
2024-04,63.07,7,311.08,33
2024-05,,,311.08,33
2024-06,36.56,3,311.08,33
2024-07,,,311.08,33
2024-08,37.22,4,311.08,33
2024-09,,,311.08,33
2024-10,,,311.08,33
2024-11,171.31,18,311.08,33
2024-12,57.24,6,311.08,33
2025-01,,,98.73,10
2025-02,18.48,1,98.73,10
2025-03,,,98.73,10
2025-04,259.38,28,98.73,10
2025-05,,,98.73,10
2025-06,,,98.73,10
2025-07,,,98.73,10